NAME,PATTERN,VALUE
CSF_UpMinProvision,"DO_2,H20",305
CSF_RS,"DO_2,H21",305
CSF_UpMinProvision,"DO_2,H21",305
CSF_RS,"DO_2,H22",305
CSF_UpMinProvision,"DO_2,H22",305
CSF_RS,"DO_2,H23",135
CSF_UpMinProvision,"DO_2,H23",135
CSF_RS,"DO_2,H24",135
CSF_UpMinProvision,"DO_2,H24",135
CSF_RS,"LU_2,H1",154
CSF_UpMinProvision,"LU_2,H1",154
CSF_RS,"LU_2,H2",154
CSF_UpMinProvision,"LU_2,H2",154
CSF_RS,"LU_2,H3",158
CSF_UpMinProvision,"LU_2,H3",158
CSF_RS,"LU_2,H4",158
CSF_UpMinProvision,"LU_2,H4",158
CSF_RS,"LU_2,H5",158
CSF_UpMinProvision,"LU_2,H5",158
CSF_RS,"LU_2,H6",158
CSF_UpMinProvision,"LU_2,H6",158
CSF_RS,"LU_2,H7",158
CSF_UpMinProvision,"LU_2,H7",158
CSF_RS,"LU_2,H8",215
CSF_UpMinProvision,"LU_2,H8",215
CSF_RS,"LU_2,H9",215
CSF_UpMinProvision,"LU_2,H9",215
CSF_RS,"LU_2,H10",215
CSF_UpMinProvision,"LU_2,H10",215
CSF_RS,"LU_2,H11",209
CSF_UpMinProvision,"LU_2,H11",209
CSF_RS,"LU_2,H12",209
CSF_UpMinProvision,"LU_2,H12",209
CSF_RS,"LU_2,H13",209
CSF_UpMinProvision,"LU_2,H13",209
CSF_RS,"LU_2,H14",209
CSF_UpMinProvision,"LU_2,H14",209
CSF_RS,"LU_2,H15",209
CSF_UpMinProvision,"LU_2,H15",209
CSF_RS,"LU_2,H16",209
CSF_UpMinProvision,"LU_2,H16",209
CSF_RS,"LU_2,H17",330
CSF_UpMinProvision,"LU_2,H17",330
CSF_RS,"LU_2,H18",330
CSF_UpMinProvision,"LU_2,H18",330
CSF_RS,"LU_2,H19",330
CSF_UpMinProvision,"LU_2,H19",330
CSF_RS,"LU_2,H20",301
CSF_UpMinProvision,"LU_2,H20",301
CSF_RS,"LU_2,H21",301
CSF_UpMinProvision,"LU_2,H21",301
CSF_RS,"LU_2,H22",301
CSF_UpMinProvision,"LU_2,H22",301
CSF_RS,"LU_2,H23",154
CSF_UpMinProvision,"LU_2,H23",154
CSF_RS,"LU_2,H24",154
CSF_UpMinProvision,"LU_2,H24",154
CSF_RS,"SA_2,H1",135
CSF_UpMinProvision,"SA_2,H1",135
CSF_RS,"SA_2,H2",135
CSF_UpMinProvision,"SA_2,H2",135
CSF_RS,"SA_2,H3",154
CSF_UpMinProvision,"SA_2,H3",154
